// Ventilation Space Function Data,,,,,,,,,
TABLE VentilationSpaceFunctionData,,,,,,,,,
,VentFuncType,MinOccDens,CodeVentPerArea,CodeExhContPerFixture,CodeExhIntrmtPerFixture,CodeExhPerArea,AirClass,VentSpcFuncIdx,
,Exhaust - Animal imaging(MRI/CT/PET),0,0,0,0,0.9,3,97,; 
,Exhaust - Animal operating rooms,0,0,0,0,3,3,98,; 
,Exhaust - Animal postoperative recovery room,0,0,0,0,1.5,3,99,; 
,Exhaust - Animal preparation rooms,0,0,0,0,1.5,3,100,; 
,Exhaust - Animal procedure room,0,0,0,0,2.25,3,101,; 
,Exhaust - Animal surgery scrub,0,0,0,0,1.5,3,102,; 
,Exhaust - Animal Necropsy,0,0,0,0,2.25,3,103,; 
,Exhaust - Arenas,0,0,0,0,0.5,1,25,; 
,Exhaust - Auto repair rooms,0,0,0,0,1.5,2,26,; 
,Exhaust - Cells with toilet,0,0,0,0,1,2,27,; 
,"Exhaust - Copy, printing rooms",0,0,0,0,0.5,2,28,; 
,Exhaust - Darkrooms,0,0,0,0,1,2,29,; 
,"Exhaust - Janitor closets, trash rooms, recycling",0,0,0,0,1,3,30,; 
,Exhaust - Kitchenettes,0,0,0,0,0.3,2,31,; 
,Exhaust - Large-animal holding room,0,0,0,0,2.25,3,104,; 
,Exhaust - Locker rooms for athletic or industrial facilities,0,0,0,0,0.5,2,32,; 
,Exhaust - Paint spray booths,0,0,0,0,0,4,33,; 
,Exhaust - Parking garages,0,0,0,0,0.75,2,34,; 
,Exhaust - Refrigerating machinery rooms,0,0,0,0,0,3,35,; 
,Exhaust - Shower rooms,0,0,20,50,0,2,36,; 
,Exhaust - Small-animal-cage room (static cages),0,0,0,0,2.25,3,105,; 
,Exhaust - Small-animal-cage room (ventilated cages),0,0,0,0,1.5,3,106,; 
,Exhaust - Soiled laundry storage rooms,0,0,0,0,1,3,37,; 
,"Exhaust - Storage rooms, chemical",0,0,0,0,1.5,4,38,; 
,"Exhaust - Toilets, private",0,0,25,50,0,2,39,; 
,"Exhaust - Toilets, public",0,0,50,70,0,2,40,; 
,Exhaust - Woodwork shop/classrooms,0,0,0,0,0.5,2,41,; 
,"Food Service - Bars, cocktail lounges",33,0.2,0,0,0,2,42,; 
,Food Service - Cafeteria/fast-food dining,33,0.15,0,0,0,2,43,; 
,Food Service - Kitchen (cooking),3,0.15,0,0,0.7,2,44,; 
,Food Service - Restaurant dining rooms,33,0.15,0,0,0,2,45,; 
,General - Break rooms,33,0.15,0,0,0,1,46,; 
,General - Coffee Stations,33,0.15,0,0,0,1,47,; 
,General - Conference/meeting,33,0.15,0,0,0,1,48,; 
,General - Corridors,5,0.15,0,0,0,1,49,; 
,General - Occupiable storage rooms for liquids or gels,2,0.15,0,0,0,2,50,; 
,General - Unoccupied,0,0,0,0,0,1,51,; 
,Lodging - Barracks sleeping areas,5,0.15,0,0,0,1,52,; 
,Lodging - Bedroom/living room,3,0.15,0,0,0,1,53,; 
,Lodging - Laundry rooms within dwelling units,5,0.15,0,0,0,1,54,; 
,"Lodging - Laundry rooms, central",5,0.15,0,0,0,2,55,; 
,Lodging - Lobbies/pre-function,33,0.15,0,0,0,1,56,; 
,Lodging - Multipurpose assembly,33,0.15,0,0,0,1,57,; 
,Misc - All others,5,0.15,0,0,0,2,58,; 
,Misc - Bank vaults/safe deposit,5,0.15,0,0,0,2,59,; 
,Misc - Banks or bank lobbies,5,0.15,0,0,0,1,60,; 
,Misc - Computer (not printing),5,0.15,0,0,0,1,61,; 
,Misc - Freezer and refrigerated spaces (<50F),0,0,0,0,0,2,62,; 
,Misc - General manufacturing (excludes heavy industrial and process using chemicals),5,0.15,0,0,0,3,63,; 
,Misc - Pharmacy (preparation area),5,0.15,0,0,0,2,64,; 
,Misc - Photo studios,5,0.15,0,0,0,1,65,; 
,Misc - Shipping/receiving,5,0.15,0,0,0,2,66,; 
,"Misc - Sorting, packing, light assembly",5,0.15,0,0,0,2,67,; 
,Misc - Telephone closets,5,0.15,0,0,0,1,68,; 
,Misc - Transportation waiting,33,0.15,0,0,0,1,69,; 
,Misc - Warehouses,1,0.15,0,0,0,2,70,; 
,Office - Breakrooms,33,0.15,0,0,0,1,71,; 
,Office - Main entry lobbies,33,0.15,0,0,0,1,72,; 
,Office - Occupiable storage rooms for dry materials,2,0.15,0,0,0,1,73,; 
,Office - Office space,5,0.15,0,0,0,1,74,; 
,Office - Reception areas,5,0.15,0,0,0,1,75,; 
,Office - Telephone/data entry,33,0.15,0,0,0,1,76,; 
,Residential - Common corridors,5,0.15,0,0,0,1,77,; 
,Retail - Barbershop,17,0.4,0,0,0.5,2,78,; 
,Retail - Beauty and nail salons,17,0.4,0,0,0.6,2,79,; 
,Retail - Coin-operated laundries,17,0.3,0,0,0,2,80,; 
,Retail - Mall common areas,17,0.15,0,0,0,1,81,; 
,Retail - Pet shops (animal areas),17,0.2,0,0,0.9,2,82,; 
,Retail - Sales,17,0.2,0,0,0,2,83,; 
,Retail - Supermarket,17,0.2,0,0,0,1,84,; 
,Sports/Entertainment - Bowling alley (seating),71,0.15,0,0,0,1,85,; 
,Sports/Entertainment - Disco/dance floors,100,0.15,0,0,0,2,86,; 
,Sports/Entertainment - Gambling casinos,45,0.15,0,0,0,1,87,; 
,Sports/Entertainment - Game arcades,45,0.15,0,0,0,1,88,; 
,"Sports/Entertainment - Gym, sports arena (play area)",10,0.15,0,0,0,2,89,; 
,Sports/Entertainment - Health club/aerobics room,10,0.15,0,0,0,2,90,; 
,Sports/Entertainment - Health club/weight rooms,10,0.15,0,0,0,2,91,; 
,Sports/Entertainment - Spectator areas,33,0.15,0,0,0,1,92,; 
,"Sports/Entertainment - Stages, studios",33,0.15,0,0,0,1,93,; 
,Sports/Entertainment - Swimming (deck),33,0.15,0,0,0,2,94,; 
,Sports/Entertainment - Swimming (pool),10,0.15,0,0,0,2,95,; 
,NA,0,0,0,0,0,0,96,;
ENDTABLE,,,,,,,,,
