;,CEC 2016 Nonresidential ACM Ruleset,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,
;,TABLE NAME:,,,,,,,,,,,,,,,,
;,,LtgInputRestrictions,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,
;,MODIFICATION HISTORY:,,,,,,,,,,,,,,,,
;,,Date,Name,Purpose,,,,,,,,,,,,,
;,,7/20/2015,L. Hovee,Lighting Allowance and PAF validity verification,,,,,,,,,,,,,
;,,,1,2,3,4,5,6,7,8,9,10,,11,,,
,,Office Area (>250 square feet),0,0,0,0,0,0,0,0,0,1,0,0,0,0,;
,,Office Area (Open plan office),0,0,0,0,0,0,0,0,0,1,0,0,0,0,;
,,Parking Garage Area (Daylight Adaptation Zones),0,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Parking Garage Area (Dedicated Ramps),0,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Parking Garage Area (Parking Zone),0,0,0,0,0,0,0,0,1,0,0,0,0,0,;
,,Pharmacy Area,0,1,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Religious Worship Area,0,0,1,0,0,0,0,0,0,0,0,0,0,0,;
,,Restrooms,0,0,0,0,0,1,1,0,0,0,0,0,0,0,;
,,Retail Sales Area (Fitting Room),0,0,0,0,0,0,0,0,0,0,1,1,0,0,;
,,Retail Sales Area (Grocery Sales),0,0,0,0,0,1,1,0,0,0,0,0,0,0,;
,,Retail Sales Area (Retail Merchandise Sales),0,0,0,0,0,1,1,0,0,0,0,0,0,0,;
,,Scientific Laboratory Area,0,1,0,0,0,0,0,0,0,0,0,0,0,0,;
,,"Sports Arena - Playing Area (> 5,000 Spectators)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,"Sports Arena - Playing Area (2,000 - 5,000 Spectators)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,"Sports Arena - Playing Area (< 2,000 Spectators)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Sports Arena - Playing Area (Recreational),0,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Stairwell,0,0,0,0,0,1,1,0,0,0,0,0,0,0,;
,,Theater Area (Motion Picture),0,0,1,0,0,0,0,0,0,0,0,0,0,0,;
,,Theater Area (Performance),0,0,1,0,0,0,0,0,0,0,0,0,0,0,;
,,Transportation Function (Baggage Area),0,0,0,0,0,1,0,0,0,0,0,0,0,0,;
,,Transportation Function (Ticketing Area),0,0,0,0,0,1,0,0,0,0,0,0,0,0,
,,Unleased Tenant Area,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,Unoccupied-Exclude from Gross Floor Area,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,Unoccupied-Include in Gross Floor Area,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,Videoconferencing Studio,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
,,Aging Eye/Low-vision (Corridor Area),0,0,0,0,0,0,1,0,0,0,0,0,0,0,;
,,Aging Eye/Low-vision (Dining),0,0,1,0,0,0,0,0,0,0,0,0,0,0,;
,,Aging Eye/Low-vision (Lounge/Waiting Area),0,0,1,0,0,0,0,0,0,0,0,0,0,0,;
,,Aging Eye/Low-vision (Main Entry Lobby),0,0,1,0,0,0,0,0,0,0,0,0,1,0,;
,,Aging Eye/Low-vision (Multipurpose Room),0,0,1,0,0,0,0,0,0,0,0,0,0,0,;
,,Aging Eye/Low-vision (Religious Worship Area),0,0,1,0,0,0,0,0,0,0,0,0,0,0,;
,,Aging Eye/Low-vision (Restroom),0,0,0,0,0,1,0,0,0,0,0,0,0,0,;
,,Aging Eye/Low-vision (Stairwell),0,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,All other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,"_Invalid from 2016 - Corridors, Restrooms, Stairs, and Support Areas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,_Invalid from 2016 - Police Station and Fire Station,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"_Invalid from 2016 - Housing, Public and Common Areas: Multi-family, Dormitory",0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"_Invalid from 2016 - Housing, Public and Common Areas: Senior Housing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,ENDTABLE,,,,,,,,,,,,,,,,
