;,CEC Title-24 Residential Compliance Ruleset,,,,,,,,,
;,Central HPWH Compressors look-up table,,,,,,,,,
,,156,26,;,Lochinvar AHP125-*-***N****,Lochinvar AHP125-*-***N****  (26kW cap @ 40F),,,,
,,146,40,;,Lochinvar AHP185-*-***N****,Lochinvar AHP185-*-***N****  (40kW cap @ 40F),,,,
,,147,45,;,Lochinvar AHP250-*-***N****,Lochinvar AHP250-*-***N****  (45kW cap @ 40F),,,,
,,253,5,;,A. O. Smith AHPA-25-*-***N****,A. O. Smith AHPA-25-*-***N****  (5kW cap @ 40F),,,,
,,254,11,;,A. O. Smith AHPA-60-*-***N****,A. O. Smith AHPA-60-*-***N****  (11kW cap @ 40F),,,,
,,255,20,;,A. O. Smith AHPA-90-*-***N****,A. O. Smith AHPA-90-*-***N****  (20kW cap @ 40F),,,,
,,256,26,;,A. O. Smith AHPA-125-*-***N****,A. O. Smith AHPA-125-*-***N****  (26kW cap @ 40F),,,,
,,246,40,;,A. O. Smith AHPA-185-*-***N****,A. O. Smith AHPA-185-*-***N****  (40kW cap @ 40F),,,,
,,247,45,;,A. O. Smith AHPA-250-*-***N****,A. O. Smith AHPA-250-*-***N****  (45kW cap @ 40F),,,,
,,353,5,;,State SHPA-25-*-***N****,State SHPA-25-*-***N****  (5kW cap @ 40F),,,,
,,354,11,;,State SHPA-60-*-***N****,State SHPA-60-*-***N****  (11kW cap @ 40F),,,,
,,355,20,;,State SHPA-90-*-***N****,State SHPA-90-*-***N****  (20kW cap @ 40F),,,,
,,356,26,;,State SHPA-125-*-***N****,State SHPA-125-*-***N****  (26kW cap @ 40F),,,,
,,346,40,;,State SHPA-185-*-***N****,State SHPA-185-*-***N****  (40kW cap @ 40F),,,,
,,347,45,;,State SHPA-250-*-***N****,State SHPA-250-*-***N****  (45kW cap @ 40F),,,,
,,167,11,;,Lochinvar AHP060-*-***C****,Lochinvar AHP060-*-***C****  (11kW cap @ 40F),,,,
,,168,20,;,Lochinvar AHP090-*-***C****,Lochinvar AHP090-*-***C****  (20kW cap @ 40F),,,,
,,169,26,;,Lochinvar AHP125-*-***C****,Lochinvar AHP125-*-***C****  (26kW cap @ 40F),,,,
,,170,40,;,Lochinvar AHP185-*-***C****,Lochinvar AHP185-*-***C****  (40kW cap @ 40F),,,,
,,171,45,;,Lochinvar AHP250-*-***C****,Lochinvar AHP250-*-***C****  (45kW cap @ 40F),,,,
,,267,11,;,A. O. Smith AHPA-60-*-***C****,A. O. Smith AHPA-60-*-***C****  (11kW cap @ 40F),,,,
,,268,20,;,A. O. Smith AHPA-90-*-***C****,A. O. Smith AHPA-90-*-***C****  (20kW cap @ 40F),,,,
,,269,26,;,A. O. Smith AHPA-125-*-***C****,A. O. Smith AHPA-125-*-***C****  (26kW cap @ 40F),,,,
,,270,40,;,A. O. Smith AHPA-185-*-***C****,A. O. Smith AHPA-185-*-***C****  (40kW cap @ 40F),,,,
,,271,45,;,A. O. Smith AHPA-250-*-***C****,A. O. Smith AHPA-250-*-***C****  (45kW cap @ 40F),,,,
,,367,11,;,State SHPA-60-*-***C****,State SHPA-60-*-***C****  (11kW cap @ 40F),,,,
,,368,20,;,State SHPA-90-*-***C****,State SHPA-90-*-***C****  (20kW cap @ 40F),,,,
,,369,26,;,State SHPA-125-*-***C****,State SHPA-125-*-***C****  (26kW cap @ 40F),,,,
,,370,40,;,State SHPA-185-*-***C****,State SHPA-185-*-***C****  (40kW cap @ 40F),,,,
,,371,45,;,State SHPA-250-*-***C****,State SHPA-250-*-***C****  (45kW cap @ 40F),,,,
,,991,5,;,generic,generic  (5kW cap @ 40F),,,,
,,992,11,;,generic,generic  (11kW cap @ 40F),,,,
,,993,20,;,generic,generic  (20kW cap @ 40F),,,,
,,994,26,;,generic,generic  (26kW cap @ 40F),,,,
,,995,40,;,generic,generic  (40kW cap @ 40F),,,,
,,996,45,;,generic,generic  (45kW cap @ 40F),,,,
,,*,0,;,ERROR,,,,,
,ENDTABLE,,,,,,,,,
