;  2025 CBECC Climate Zone (weather) Run Set,,,,,,
; CBECC Batch Processing - Run Set Definitions,,,,,,
;,,,,,,
*,,...-CZ4-MOUNTAIN VIEW MOFFETT,CZ4-MOUNTAIN VIEW MOFFETT,ClimateZone4,MOUNTAIN VIEW MOFFETT,
*,,...-CZ4-PASO ROBLES,CZ4-PASO ROBLES,ClimateZone4,PASO ROBLES,
*,,...-CZ4-SAN JOSE INTL,CZ4-SAN JOSE INTL,ClimateZone4,SAN JOSE INTL,
*,,...-CZ4-SAN-JOSE-REID-HILLV,CZ4-SAN-JOSE-REID-HILLV,ClimateZone4,SAN-JOSE-REID-HILLV,
*,,...-CZ5-LOMPOC,CZ5-LOMPOC,ClimateZone5,LOMPOC,
*,,...-CZ5-SAN LUIS OBISPO,CZ5-SAN LUIS OBISPO,ClimateZone5,SAN LUIS OBISPO,
*,,...-CZ5-SANTA MARIA,CZ5-SANTA MARIA,ClimateZone5,SANTA MARIA,
*,,...-CZ5-VANDENBERG AFB,CZ5-VANDENBERG AFB,ClimateZone5,VANDENBERG AFB,
*,,...-CZ6-CAMARILLO,CZ6-CAMARILLO,ClimateZone6,CAMARILLO,
*,,...-CZ6-COSTA MESA WAYNE,CZ6-COSTA MESA WAYNE,ClimateZone6,COSTA MESA WAYNE,
*,,...-CZ6-LOS ANGELES INTL,CZ6-LOS ANGELES INTL,ClimateZone6,LOS ANGELES INTL,
*,,...-CZ6-OXNARD,CZ6-OXNARD,ClimateZone6,OXNARD,
*,,...-CZ6-POINT MUGU NAS,CZ6-POINT MUGU NAS,ClimateZone6,POINT MUGU NAS,
*,,...-CZ6-SANTA BARBARA,CZ6-SANTA BARBARA,ClimateZone6,SANTA BARBARA,
*,,...-CZ6-SANTA MONICA,CZ6-SANTA MONICA,ClimateZone6,SANTA MONICA,
*,,...-CZ6-TORRANCE-MUNI-AP,CZ6-TORRANCE-MUNI-AP,ClimateZone6,TORRANCE-MUNI-AP,
*,,...-CZ7-BROWN FIELD,CZ7-BROWN FIELD,ClimateZone7,BROWN FIELD,
*,,...-CZ7-CAMP PENDLETON MCAS,CZ7-CAMP PENDLETON MCAS,ClimateZone7,CAMP PENDLETON MCAS,
*,,...-CZ7-CATALINA,CZ7-CATALINA,ClimateZone7,CATALINA,
*,,...-CZ7-IMPERIAL BEACH NOLF,CZ7-IMPERIAL BEACH NOLF,ClimateZone7,IMPERIAL BEACH NOLF,
*,,...-CZ7-MCCLELLAN-PALOMAR,CZ7-MCCLELLAN-PALOMAR,ClimateZone7,MCCLELLAN-PALOMAR,
*,,...-CZ7-MONTGOMERY-GIBBS,CZ7-MONTGOMERY-GIBBS,ClimateZone7,MONTGOMERY-GIBBS,
*,,...-CZ7-NORTH ISLAND NAS,CZ7-NORTH ISLAND NAS,ClimateZone7,NORTH ISLAND NAS,
*,,...-CZ7-OCEANSIDE,CZ7-OCEANSIDE,ClimateZone7,OCEANSIDE,
*,,...-CZ7-SAN DIEGO INTL,CZ7-SAN DIEGO INTL,ClimateZone7,SAN DIEGO INTL,
*,,...-CZ8-FULLERTON,CZ8-FULLERTON,ClimateZone8,FULLERTON,
*,,...-CZ8-LONG BEACH,CZ8-LONG BEACH,ClimateZone8,LONG BEACH,
*,,...-CZ8-LOS ALAMITOS AAF,CZ8-LOS ALAMITOS AAF,ClimateZone8,LOS ALAMITOS AAF,
*,,...-CZ8-LOS ANGELES HAWTHORNE,CZ8-LOS ANGELES HAWTHORNE,ClimateZone8,LOS ANGELES HAWTHORNE,
*,,...-CZ9-HOLLYWOOD BURBANK,CZ9-HOLLYWOOD BURBANK,ClimateZone9,HOLLYWOOD BURBANK,
*,,...-CZ9-LOS ANGELES USC,CZ9-LOS ANGELES USC,ClimateZone9,LOS ANGELES USC,
*,,...-CZ9-VAN NUYS,CZ9-VAN NUYS,ClimateZone9,VAN NUYS,
*,,...-CZ10-CHINO,CZ10-CHINO,ClimateZone10,CHINO,
*,,...-CZ10-MARCH AFB,CZ10-MARCH AFB,ClimateZone10,MARCH AFB,
*,,...-CZ10-ONTARIO,CZ10-ONTARIO,ClimateZone10,ONTARIO,
*,,...-CZ10-RAMONA,CZ10-RAMONA,ClimateZone10,RAMONA,
*,,...-CZ10-RIVERSIDE,CZ10-RIVERSIDE,ClimateZone10,RIVERSIDE,
*,,...-CZ11-AUBURN,CZ11-AUBURN,ClimateZone11,AUBURN,
*,,...-CZ11-BEALE AFB,CZ11-BEALE AFB,ClimateZone11,BEALE AFB,
*,,...-CZ11-OROVILLE,CZ11-OROVILLE,ClimateZone11,OROVILLE,
*,,...-CZ11-RED BLUFF,CZ11-RED BLUFF,ClimateZone11,RED BLUFF,
*,,...-CZ11-REDDING,CZ11-REDDING,ClimateZone11,REDDING,
*,,...-CZ11-YUBA COUNTY AP,CZ11-YUBA COUNTY AP,ClimateZone11,YUBA COUNTY AP,
*,,...-CZ12-BUCHANAN FIELD,CZ12-BUCHANAN FIELD,ClimateZone12,BUCHANAN FIELD,
*,,...-CZ12-LIVERMORE,CZ12-LIVERMORE,ClimateZone12,LIVERMORE,
*,,...-CZ12-MERCED,CZ12-MERCED,ClimateZone12,MERCED,
*,,...-CZ12-MODESTO CITY,CZ12-MODESTO CITY,ClimateZone12,MODESTO CITY,
*,,...-CZ12-SACRAMENTO EXECUTIVE,CZ12-SACRAMENTO EXECUTIVE,ClimateZone12,SACRAMENTO EXECUTIVE,
*,,...-CZ12-SACRAMENTO INTL,CZ12-SACRAMENTO INTL,ClimateZone12,SACRAMENTO INTL,
*,,...-CZ12-SACRAMENTO MATHER,CZ12-SACRAMENTO MATHER,ClimateZone12,SACRAMENTO MATHER,
*,,...-CZ12-STOCKTON,CZ12-STOCKTON,ClimateZone12,STOCKTON,
*,,...-CZ12-TRAVIS AFB,CZ12-TRAVIS AFB,ClimateZone12,TRAVIS AFB,
*,,...-CZ12-VACAVILLE NUT TREE,CZ12-VACAVILLE NUT TREE,ClimateZone12,VACAVILLE NUT TREE,
*,,...-CZ13-FRESNO YOSEMITE,CZ13-FRESNO YOSEMITE,ClimateZone13,FRESNO YOSEMITE,
*,,...-CZ13-HANFORD,CZ13-HANFORD,ClimateZone13,HANFORD,
*,,...-CZ13-LEMORE NAS,CZ13-LEMORE NAS,ClimateZone13,LEMORE NAS,
*,,...-CZ13-MADERA,CZ13-MADERA,ClimateZone13,MADERA,
*,,...-CZ13-MEADOWS FIELD,CZ13-MEADOWS FIELD,ClimateZone13,MEADOWS FIELD,
*,,...-CZ13-PORTERVILLE,CZ13-PORTERVILLE,ClimateZone13,PORTERVILLE,
*,,...-CZ13-VISALIA,CZ13-VISALIA,ClimateZone13,VISALIA,
*,,...-CZ14-BARSTOW-DAGGETT,CZ14-BARSTOW-DAGGETT,ClimateZone14,BARSTOW-DAGGETT,
*,,...-CZ14-CHINA LAKE,CZ14-CHINA LAKE,ClimateZone14,CHINA LAKE,
*,,...-CZ14-EDWARDS AFB,CZ14-EDWARDS AFB,ClimateZone14,EDWARDS AFB,
*,,...-CZ14-LANCASTER FOX,CZ14-LANCASTER FOX,ClimateZone14,LANCASTER FOX,
*,,...-CZ14-PALMDALE,CZ14-PALMDALE,ClimateZone14,PALMDALE,
*,,...-CZ15-BLYTHE,CZ15-BLYTHE,ClimateZone15,BLYTHE,
*,,...-CZ15-DESERT RESORTS,CZ15-DESERT RESORTS,ClimateZone15,DESERT RESORTS,
*,,...-CZ15-EL CENTRO NAF,CZ15-EL CENTRO NAF,ClimateZone15,EL CENTRO NAF,
*,,...-CZ15-IMPERIAL COUNTY AP,CZ15-IMPERIAL COUNTY AP,ClimateZone15,IMPERIAL COUNTY AP,
*,,...-CZ15-NEEDLES,CZ15-NEEDLES,ClimateZone15,NEEDLES,
*,,...-CZ15-PALM SPRINGS,CZ15-PALM SPRINGS,ClimateZone15,PALM SPRINGS,
*,,...-CZ16-ALTURAS,CZ16-ALTURAS,ClimateZone16,ALTURAS,
*,,...-CZ16-BLUE CANYON,CZ16-BLUE CANYON,ClimateZone16,BLUE CANYON,
*,,...-CZ16-EASTERN SIERRA,CZ16-EASTERN SIERRA,ClimateZone16,EASTERN SIERRA,
*,,...-CZ16-LAKE TAHOE,CZ16-LAKE TAHOE,ClimateZone16,LAKE TAHOE,
*,,...-CZ16-MAMMOTH YOSEMITE,CZ16-MAMMOTH YOSEMITE,ClimateZone16,MAMMOTH YOSEMITE,
*,,...-CZ16-MOUNT SHASTA,CZ16-MOUNT SHASTA,ClimateZone16,MOUNT SHASTA,
*,,...-CZ16-SANDBERG,CZ16-SANDBERG,ClimateZone16,SANDBERG,
*,,...-CZ16-SISKIYOU COUNTY AP,CZ16-SISKIYOU COUNTY AP,ClimateZone16,SISKIYOU COUNTY AP,
*,,...-CZ16-TRUCKEE-TAHOE,CZ16-TRUCKEE-TAHOE,ClimateZone16,TRUCKEE-TAHOE,
END_RUN_SET,; end of Run Set table,,,,,
;,,,,,,
;,,,,,,
;,AnalysisAction Table Key:,,,,,
;,A,Type - used to describe how a model is changed using data specified out in column F of this table,,,,
;,,SetFloat,floating point data stored in the Run Set table above (labeled in col F) is posted to the building database,,,
;,,SetInteger,integer data stored in the Run Set table above (labeled in col F) is posted to the building database,,,
;,,SetString,character string data stored in the Run Set table above (labeled in col F) is posted to the building database,,,
;,,AppendString,char string data stored in the Run Set table above (labeled in col F) is APPENDED to the building database,,,
;,,TablePathFile,Run Set table above (labeled in col F) contains the Name of a look-up table (CSV) file to be loaded into the active ruleset,,,
;,,RulelistPathFile,Run Set table above (labeled in col F) contains the Name of a rulelist file to be loaded into the active ruleset,,,
;,,EvalRulelist,Run Set table above (labeled in col F) contains the Name of a rulelist to be evaluated on the building model,,,
;,,,"Note:  *PathFile data can include full paths or, if no path is specified, then these files should be located in the ",,,
;,,,                  batch input file or run set definitions directory,,,
;,B,AnalysisPhase - at what phase of analysis should the run set data/rules be applied to the building model,,,,
;,,LoadModel,pretty self-explanatory…,,,
;,,ProposedSizing,,,,
;,,ProposedAnnual,,,,
;,,BaselineSizing,,,,
;,,BaselineAnnual,,,,
;,,End,,,,
;,C,BeforeAfterPhase - more specifics about when the run set data/rules are to be applied to the building model,,,,
;,,Note:  BeforeAfterPhase options are dependent on the AnalysisPhase options (in col B),,,,
;,,BeforeDefaulting,LoadModel,,,
;,,AfterDefaulting,LoadModel,,,
;,,BeforeAnalysisPostProcessing,End,,,
;,,AfterAnalysisPostProcessing,End,,,
;,,BeforeModelSetupRules,(all others),,,
;,,AfterModelSetupRules,(all others),,,
;,,ActOnSimulationInput,(all others),,,
;,,FollowingResultsProcessing,(all others),,,
;,D,Obj:Prop - identity of the object type & property modified using the run set-defined data,,,,
;,E,Obj to alter - the name of the object to be altered (w/ run set data),,,,
;,,Note:  columns D & E used only for Set* and Append* AnalysisAction types,,,,
;,F,Run Set Table Column - label used to identify which column of data in the run set table to reference,,,,
;,,,,,,
;,AnalysisAction Table,,,,,
;     Type,AnalysisPhase,BeforeAfterPhase,Obj:Prop,Obj to alter,Run Set Table Column,
AppendString,LoadModel,BeforeDefaulting,Proj:RunTitle,*,RunTitle,
SetString,LoadModel,BeforeDefaulting,Proj:CliZn,*,CZ,
SetString,LoadModel,BeforeDefaulting,Proj:WeatherStation,*,Weather,
END,; end of AnalysisAction table,,,,,
